Component,References,Value,Footprint,Quantity Per PCB,Digi-Key PN
1,C1001 C1002 C1101 C1102 C1201 C1202 C1301 C1302 C1401 C1402,22pF,C_0603,10,1292-1501-1-ND
2,C201 C304,10nF,C_0603,2,399-7842-1-ND
3,C202 C301 C305 C402 C501 C502 C503 C504 C601 C602 C603 C604 C605 C701 C702 C703 C704 C705 C706 C707 C708 C709 C710 C901 C902 C903 C904 C905 C907 C908 C909 C1403 C1501 C1502,0.1uF,C_0603,34,1276-1935-1-ND
4,C302 C306 C307 C308,10uF,C_1206,4,399-8153-1-ND
5,C303 C401 C403 C404 C906 C910,10uF,C_0603,6,399-8153-1-ND
6,C203 C1003 C1103 C1203 C1303,100uF,CP_EIA-7343-43_Kemet-X,5,718-1102-1-ND
8,D301,BAT48JFILM,D_SOD-323,1,497-5711-1-ND
9,D601 D602 D603 D604 D605 D701 D702 D703 D704 D710,Green,LED_0603,10,754-1121-1-ND
10,D705 D706 D707 D708 D709,Red,LED_0603,5,754-1117-1-ND
11,D1001 D1101 D1201 D1301,SP0503BAHT,SOT-143,4,F2715CT-ND
13,J1001 J1101 J1201 J1301,USB_A,USB_A_Wuerth_614004134726_Horizontal,4,732-2731-ND
14,J1401,USB_B_Mini,USB_Mini-B,1,732-2109-1-ND
15,L301,2.2uH,L_Vishay_IHLP-2020,1,541-1236-1-ND
16,L901,600R 0.5A,L_0603,1,MH1608-601YCT-ND
17,MK801 MK802 MK807 MK808,#4-40 Screw,,4,36-9900-ND
18,MK803 MK804 MK805 MK806,#4-40 Standoff,,4,36-1892-ND
19,N201,+12V 1A Power Supply,,1,993-1335-ND
20,Q301,BSS214NW,SOT-323_SC-70,1,BSS214NWH6327XTSA1CT-ND
21,Q302,ZXMS6004FFTA,SOT-23,1,ZXMS6004FFCT-ND
22,R302 R306 R901,10,R_0603,3,541-2982-1-ND
23,R1001 R1002 R1101 R1102 R1201 R1202 R1301 R1302 R1401 R1402,27,R_0603,10,541-27.0HCT-ND
24,R601 R602 R603 R604 R606 R701 R702 R703 R704 R705 R706 R707 R708 R709 R710 R902,1k,R_0603,16,541-1.00KHCT-ND
25,R202 R404,1.15k,R_0603,2,541-1.15KHCT-ND
26,R303,1.37k,R_0603,1,541-1.37KHCT-ND
27,R301,2.67k,R_0603,1,541-2.67KHCT-ND
28,R403,3.57k,R_0603,1,541-3.57KHCT-ND
29,R502 R504 R506 R508,4.99k,R_0603,4,541-4.99KHCT-ND
30,R203 R207,5.11k,R_0603,2,541-5.11KHCT-ND
31,R204 R205 R208 R304 R305 R401 R402 R501 R509 R605 R903 R904 R905 R906 R907 R1501 R1502 R1503 R1504 R1505 R1506 R1507 R1508,10k,R_0603,23,541-10.0KHCT-ND
32,R206,13k,R_0603,1,541-13.0KHCT-ND
33,R503 R510,18.7k,R_0603,2,541-18.7KHCT-ND
34,R505 R507,23.7k,R_0603,2,541-23.7KHCT-ND
35,R201,51.1k,R_0603,1,541-3009-1-ND
39,U904,74LVC1G373,SOT-363_SC-70-6,1,296-18775-1-ND
40,U301 U601 U602 U603 U604 U605 U709 U710 U901 U701 U702 U703 U704 U705 U706 U707 U708,74LVC1G97,SOT-363_SC-70-6,17,1727-1772-1-ND
44,U903,M93C46-WMN6TP,SOIC-8_3.9x4.9mm_P1.27mm,1,497-5090-1-ND
45,U1401,TPD3S044DBVR,SOT-23-6,1,296-38836-1-ND
46,U1501 U1502,TPS2042BDGN,MSOP-8-1EP_3x3mm_Pitch0.65mm,2,296-28003-1-ND
47,U501,TPS2121RUXR,12-VQFN-HR_2x2p5,1,296-53410-1-ND
48,U201,TPS26600RHFT,QFN-24-1EP_4x5mm_Pitch0.5mm,1,296-45478-1-ND
49,U902,TPS3808G33,SOT-23-6,1,296-17195-1-ND
50,U302,TPS62133,QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm,1,296-30225-1-ND
51,U401,TPS7A92,Texas_S-PDSO-N10_EP1.2x2mm,1,TPS7A9201DSKR
52,U905,TUSB2046BIRHBT,VQFN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm,1,296-27130-1-ND
53,X901,ASE-48.000MHz,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,535-ASE-48.000MHZ-L-C-TCT-ND
